Task,Description,Success Rate (%),Future Video PSNR (dB)
libero_10_410,put the black bowl in the bottom drawer of the cabinet and close it view 0 0 100 0 0 initstate 14,0.00,25.4307
libero_10_457,put the white mug on the left plate and put the yellow and white mug on the right plate view 0 0 100 0 0 initstate 115,100.00,30.4087
libero_10_662,put the yellow and white mug in the microwave and close it view 0 0 100 0 0 initstate 310,0.00,26.1561
