Task,Description,Success Rate (%),Future Video PSNR (dB)
libero_object_2169,pick up the salad dressing and place it in the basket level5 sample1,100.00,25.3066
libero_object_2211,pick up the tomato sauce and place it in the basket level3 sample1,100.00,25.1589
