Task,Description,Success Rate (%)
libero_10_410,put the black bowl in the bottom drawer of the cabinet and close it view 0 0 100 0 0 initstate 14,100.00
libero_10_457,put the white mug on the left plate and put the yellow and white mug on the right plate view 0 0 100 0 0 initstate 115,0.00
libero_10_662,put the yellow and white mug in the microwave and close it view 0 0 100 0 0 initstate 310,0.00
